filter_idx,CTCF,SINEB2_CTCF,SINEB2_noCTCF
0,1.5690387,1.42183,1.5061088
1,1.4404501,1.4356481,1.441223
2,1.8099829,1.7178388,1.7104244
3,1.5191463,1.5923625,1.5872386
4,1.3771948,1.3616154,1.3634751
5,1.3937596,1.3139027,1.328102
6,1.4742935,1.316522,1.1755488
7,1.515472,1.7077165,1.6918088
8,1.4164711,1.3840549,1.3449234
9,1.4296787,1.6185418,1.4354651
10,1.3306653,1.1852611,1.1479442
11,1.458589,1.4787809,1.5276604
12,1.6874477,1.7137262,1.6296363
13,1.5326177,1.5092236,1.528671
14,1.4219435,1.5615222,1.5450315
15,1.4093719,1.4680988,1.2420409
16,1.8752528,1.6105523,1.5481758
17,1.5770191,1.7427967,1.658263
18,1.2995431,1.2736753,1.193379
19,1.541485,1.6895728,1.5612949
20,1.2274426,1.3318839,1.3115952
21,1.8316913,2.0123742,1.8140297
22,1.7010182,1.6881824,1.6980598
23,1.3211386,1.3922206,1.3314712
24,1.8020959,1.6171962,1.6690445
25,1.5698507,1.5998148,1.5629683
26,1.6404648,1.4203533,1.2540456
27,1.5655029,1.6571807,1.6291542
28,1.1815892,1.3139685,1.3103046
29,1.3027239,1.1393651,1.1705399
30,1.2829465,1.2172773,1.261116
31,1.7693795,1.651058,1.4624628
32,1.5671971,1.6251414,1.5943767
33,1.5976593,1.5951158,1.6262752
34,1.496212,1.4619358,1.2621639
35,1.3203626,1.4005554,1.3708222
36,1.269665,1.8592104,1.6163365
37,1.7963381,1.7838682,1.6323123
38,1.4623777,1.3053691,1.3808829
39,1.385657,1.4814442,1.4433209
40,1.6027683,1.3307602,1.4386822
41,1.6640694,1.785986,1.7174567
42,1.7446116,1.835263,1.7612382
43,1.250311,1.38752,1.2840546
44,1.4882976,1.5797282,1.4933041
45,1.4158086,1.6073308,1.5481862
46,1.5470335,1.5570427,1.5877384
47,1.4321986,1.7563244,1.4330101
48,1.4933579,1.3480929,1.3959447
49,1.6367142,1.5757958,1.5919638
50,1.6956198,1.4999185,1.5422589
51,1.5863651,1.5406193,1.501852
52,1.3845627,1.4213326,1.4181755
53,1.2864262,1.2447288,1.2645131
54,1.6591606,1.7951306,1.6967354
55,1.3694127,1.2663679,1.3175992
56,1.5452971,1.621406,1.5798161
57,1.4124844,1.2733372,1.3099122
58,1.26982,1.2715825,1.2681783
59,1.9379644,1.9084605,1.779198
60,1.4199821,1.445301,1.4248646
61,1.559722,1.5716351,1.5275213
62,1.7546917,1.8506147,1.7990775
63,1.849971,1.4414399,1.5087491
64,1.5991787,1.9248168,1.7549481
65,1.5387068,1.5109192,1.53164
66,1.5663749,1.4828334,1.5313759
67,1.5335159,1.6513997,1.5345157
68,1.2882134,1.1910254,1.2134001
69,1.3814853,1.6288067,1.5155109
70,1.2744011,1.5694057,1.432662
71,1.4149215,1.4565834,1.4541093
72,1.402825,1.421387,1.4693036
73,1.4168752,1.5047241,1.4543633
74,1.6475883,1.5900204,1.5483211
75,1.3736072,1.4581246,1.4235302
76,1.331336,1.3536675,1.3434612
77,1.4035836,1.4834235,1.4691883
78,1.3962513,1.388899,1.3268713
79,1.4121153,1.4239087,1.4602345
80,1.747309,1.5945653,1.539943
81,1.4501512,1.2819264,1.3027813
82,1.5966334,1.465974,1.4440395
83,1.2904365,1.4622629,1.3796507
84,1.702954,1.4442517,1.4892478
85,1.5127174,1.4182656,1.4303037
86,1.4209536,1.3501292,1.4129288
87,1.7051932,1.5713483,1.6115645
88,1.4256642,1.4228439,1.442818
89,1.5797712,2.0107207,1.5994374
90,2.0206444,1.7216685,1.49762
91,1.3448615,1.2909194,1.283809
92,1.8720387,1.7593672,1.2730936
93,1.6380801,1.6431962,1.6871496
94,1.9611613,1.9545156,1.8127974
95,1.5609981,1.5655539,1.492045
96,1.9528929,1.7640108,1.3151371
97,1.425225,1.3661087,1.3760326
98,2.0327551,1.7831919,1.8629965
99,1.512801,1.7073226,1.5730268
100,1.2589738,1.2156522,1.2443327
101,1.6404202,1.3503402,1.3737934
102,1.3933262,1.4264538,1.4465646
103,1.5403177,1.6337497,1.4834433
104,1.5310268,1.7815347,1.5997063
105,1.761403,1.77592,1.688391
106,1.4900277,1.4284955,1.4819729
107,1.4119291,1.3500099,1.4052273
108,1.5422837,1.4016578,1.4222673
109,1.6166236,1.5148836,1.5663513
110,1.1641876,1.1986207,1.1318481
111,1.2156295,1.0983623,1.1327952
112,1.4356054,1.4832127,1.5353404
113,2.011262,1.7794881,1.7537951
114,1.7661796,1.6984572,1.7566715
115,1.6532226,1.4553908,1.3027449
116,1.8425639,1.8366681,1.857719
117,1.6086811,1.6367391,1.581851
118,2.0535066,1.9525311,1.9860218
119,1.1861469,1.1223702,1.1327407
120,1.708715,1.5013356,1.4560314
121,1.8012623,1.6710054,1.7173873
122,1.8443819,2.031411,1.9279494
123,1.8934249,1.9175521,1.6582065
124,1.4166775,1.2878267,1.2928165
125,1.9826858,2.1347187,1.6243955
126,1.2182494,1.1332196,1.1356578
127,1.391628,1.3433782,1.3262949
